product_id,product_name,brand,category,subcategory,shade_group,seasonality,status,stock_status,private_label,price_eur,pack_size,attributes,channel_revenue_eur_12w,channel_units_sold_12w,channel_margin_pct,channel_sales_trend_12w_pct,market_revenue_eur_12w,market_units_sold_12w,market_sales_trend_12w_pct
HC0001,Schwarzkopf Brilliance Icy Plum Winter Edition,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,Winter,Winter,aktiv,in_stock,False,15.23,200 ml,grey coverage; oil-infused,12850.0,843,0.348,-0.99,181000.0,11884,0.18
HC0002,ZenBeauty Private Label Color Studio Sunlit Peach,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Summer,Summer,aktiv,in_stock,True,6.49,60 ml,vegan; direct dye,0.0,0,0.57,-1.0,64200.0,9892,0.31
HC0003,Arctic Fox Semi Permanent Electric Blue,Arctic Fox,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,inaktiv,out_of_stock,False,14.21,2 x 1 kit,vegan; high pigment,0.0,0,0.455,-0.23,72500.0,5102,0.27
HC0004,Wella Color Fresh Pearl Blonde Gloss,Wella,Beauty > Hair Coloration,Toner / Gloss,Ash Blonde,Evergreen,aktiv,low_stock,False,14.49,200 ml,shine boost; brass neutralising,220.0,18,0.325,0.547,134000.0,9248,0.42
HC0005,ZenBeauty Private Label Root Fix Medium Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,Medium Brown,Evergreen,aktiv,in_stock,True,5.99,100 ml,10 minute; grey coverage,18500.0,3088,0.62,-0.187,201000.0,33556,0.08
HC0006,Garnier Olia Copper Glow,Garnier,Beauty > Hair Coloration,Permanent Color,Copper,Evergreen,aktiv,out_of_stock,False,4.77,100 ml,grey coverage; oil-infused,16400.0,3438,0.486,-0.63,238000.0,49895,0.21
HC0007,Manic Panic High Voltage Ultra Violet,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,inaktiv,out_of_stock,False,18.92,100 ml,direct dye; high pigment,0.0,0,0.268,-0.379,310000.0,16384,0.36
HC0008,Crazy Color Semi Permanent Smoky Blonde,Crazy Color,Beauty > Hair Coloration,Permanent Color,Ash Blonde,Evergreen,aktiv,in_stock,False,12.85,150 ml,ammonia-free; grey coverage,4420.0,341,0.202,0.203,84656.46,7831,0.256
HC0009,John Frieda Go Blonder Light Golden Brown,John Frieda,Beauty > Hair Coloration,Permanent Color,Light Brown,Evergreen,inaktiv,in_stock,False,17.17,2 x 1 kit,oil-infused; multi-application,23.32,1,0.541,-0.285,8468.33,586,-0.464
HC0010,Manic Panic Classic Cream Ultra Violet,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,Vivid,Evergreen,inaktiv,in_stock,False,7.24,2 x 1 kit,high pigment; vegan,3749.33,536,0.383,0.401,71115.63,8109,0.246
HC0011,got2b Bright/Pastel Honey Blonde,got2b,Beauty > Hair Coloration,Permanent Color,Blonde,Evergreen,aktiv,in_stock,False,12.69,150 ml,ammonia-free; salon inspired,6265.13,531,0.552,0.486,65735.12,5209,0.309
HC0012,Bleach London Total Bleach Hazelnut Brown,Bleach London,Beauty > Hair Coloration,Permanent Color,Medium Brown,Evergreen,inaktiv,in_stock,False,8.62,60 ml,salon inspired; grey coverage,7388.24,928,0.553,-0.346,160912.14,19592,-0.21
