id,title,primary_action,priority_tier,evidence_strength,evidence_reason,rationale,next_step,suggested_owner,success_measure,scenario_value_eur,scenario_type,scenario_period,scenario_formula,scenario_assumptions,also_flagged,caveats,source_refs,competitor_examples,product_id,product_name,brand,subcategory,shade_group,supplier,private_label,status,stock_status,seasonality,pack_size,price_eur,channel_revenue_eur_12w,channel_units_12w,channel_margin_pct,channel_trend_12w_pct,market_revenue_eur_12w,market_trend_12w_pct,channel_to_market_ratio_pct,peer_ratio_pct,peer_margin_pct,peer_count,peer_ids,comp_benchmark_price_eur,competitor_rows,shelf_space_cm
sku-HC0070,Check supply for Wella Blondor Light Blonde (HC0070),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €269,228.58, trend +26.3%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",4536.49,Revenue,12 weeks,"max(0, €269,228.58 x 0.07216658873886855 - €14,892.82) = €4,536.49","[""Benchmark: median channel / market-demand-proxy ratio of 50 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]","[""Review margin""]","[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0070"", ""row_number"": 71}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0070"", ""row_number"": 71}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM009"", ""row_number"": 10}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM054"", ""row_number"": 55}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM056"", ""row_number"": 57}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM058"", ""row_number"": 59}]","[{""brand"": ""Crazy Color"", ""name"": ""Crazy Color Permanent Dark Blonde"", ""observed_date"": ""2026-07-01"", ""price_eur"": 29.23, ""record_id"": ""CM009"", ""signal_score_0_100"": 43.7, ""signal_valid"": true, ""source"": ""tiktok_shop_signal"", ""trend_score_12w_pct"": 0.628}, {""brand"": ""Manic Panic"", ""name"": ""Manic Panic Semi-Permanent Light Blonde"", ""observed_date"": ""2026-07-01"", ""price_eur"": 17.43, ""record_id"": ""CM054"", ""signal_score_0_100"": 67.6, ""signal_valid"": true, ""source"": ""amazon.de"", ""trend_score_12w_pct"": 0.387}, {""brand"": ""Revlon"", ""name"": ""Revlon Gloss Dark Blonde"", ""observed_date"": ""2026-07-01"", ""price_eur"": 16.14, ""record_id"": ""CM056"", ""signal_score_0_100"": 103.0, ""signal_valid"": false, ""source"": ""flaconi.de"", ""trend_score_12w_pct"": -0.309}, {""brand"": ""Wella"", ""name"": ""Wella Gloss Honey Blonde"", ""observed_date"": ""2026-07-01"", ""price_eur"": 23.49, ""record_id"": ""CM058"", ""signal_score_0_100"": 12.5, ""signal_valid"": true, ""source"": ""google_trends"", ""trend_score_12w_pct"": 0.236}]",HC0070,Wella Blondor Light Blonde,Wella,Permanent Color,Blonde,SalonPro Distribution,False,aktiv,out_of_stock,Evergreen,60 ml,12.3,14892.82,1172,0.196,0.414,269228.58,0.263,5.531663837472232,7.216658873886855,0.391,50,"[""HC0001"", ""HC0008"", ""HC0011"", ""HC0013"", ""HC0015"", ""HC0017"", ""HC0018"", ""HC0025"", ""HC0028"", ""HC0032"", ""HC0037"", ""HC0040"", ""HC0041"", ""HC0048"", ""HC0049"", ""HC0051"", ""HC0064"", ""HC0083"", ""HC0094"", ""HC0096"", ""HC0099"", ""HC0105"", ""HC0106"", ""HC0110"", ""HC0112"", ""HC0120"", ""HC0123"", ""HC0131"", ""HC0132"", ""HC0142"", ""HC0146"", ""HC0159"", ""HC0167"", ""HC0170"", ""HC0172"", ""HC0176"", ""HC0177"", ""HC0179"", ""HC0182"", ""HC0184"", ""HC0190"", ""HC0191"", ""HC0195"", ""HC0201"", ""HC0206"", ""HC0207"", ""HC0211"", ""HC0212"", ""HC0222"", ""HC0231""]",20.46,4,10.0
sku-HC0006,Check supply for Garnier Olia Copper Glow (HC0006),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €238,000.00, trend +21.0%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",775.65,Revenue,12 weeks,"max(0, €238,000.00 x 0.07216658873886855 - €16,400.00) = €775.65","[""Benchmark: median channel / market-demand-proxy ratio of 50 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0006"", ""row_number"": 7}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0006"", ""row_number"": 7}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM003"", ""row_number"": 4}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM019"", ""row_number"": 20}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM073"", ""row_number"": 74}]","[{""brand"": ""Garnier"", ""name"": ""Garnier Olia Copper Glow"", ""observed_date"": ""2026-07-01"", ""price_eur"": 7.95, ""record_id"": ""CM003"", ""signal_score_0_100"": 90.2, ""signal_valid"": true, ""source"": ""rossmann.de"", ""trend_score_12w_pct"": 0.33}, {""brand"": ""eSalon"", ""name"": ""eSalon Root Spiced Copper"", ""observed_date"": ""2026-07-01"", ""price_eur"": 17.39, ""record_id"": ""CM019"", ""signal_score_0_100"": 40.3, ""signal_valid"": true, ""source"": ""rossmann.de"", ""trend_score_12w_pct"": 0.531}, {""brand"": ""Kristin Ess"", ""name"": ""Kristin Ess Care Apricot Copper"", ""observed_date"": ""2026-07-01"", ""price_eur"": 12.15, ""record_id"": ""CM073"", ""signal_score_0_100"": 27.2, ""signal_valid"": true, ""source"": ""google_trends"", ""trend_score_12w_pct"": 0.1}]",HC0006,Garnier Olia Copper Glow,Garnier,Permanent Color,Copper,P&G Beauty,False,aktiv,out_of_stock,Evergreen,100 ml,4.77,16400.0,3438,0.486,-0.63,238000.0,0.21,6.890756302521009,7.216658873886855,0.391,50,"[""HC0001"", ""HC0008"", ""HC0011"", ""HC0013"", ""HC0015"", ""HC0017"", ""HC0018"", ""HC0025"", ""HC0028"", ""HC0032"", ""HC0037"", ""HC0040"", ""HC0041"", ""HC0048"", ""HC0049"", ""HC0051"", ""HC0064"", ""HC0083"", ""HC0094"", ""HC0096"", ""HC0099"", ""HC0105"", ""HC0106"", ""HC0110"", ""HC0112"", ""HC0120"", ""HC0123"", ""HC0131"", ""HC0132"", ""HC0142"", ""HC0146"", ""HC0159"", ""HC0167"", ""HC0170"", ""HC0172"", ""HC0176"", ""HC0177"", ""HC0179"", ""HC0182"", ""HC0184"", ""HC0190"", ""HC0191"", ""HC0195"", ""HC0201"", ""HC0206"", ""HC0207"", ""HC0211"", ""HC0212"", ""HC0222"", ""HC0231""]",12.15,3,6.0
sku-HC0053,Check supply for Herbatint Royal Cream Mocha Brown (HC0053),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €132,930.60, trend +15.6%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",0.0,Revenue,12 weeks,"max(0, €132,930.60 x 0.07216658873886855 - €16,742.67) = €0.00","[""Benchmark: median channel / market-demand-proxy ratio of 50 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]","[""Review margin""]","[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0053"", ""row_number"": 54}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0053"", ""row_number"": 54}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM029"", ""row_number"": 30}]","[{""brand"": ""Crazy Color"", ""name"": ""Crazy Color Gloss Mocha Brown"", ""observed_date"": ""2026-07-01"", ""price_eur"": 7.17, ""record_id"": ""CM029"", ""signal_score_0_100"": 15.1, ""signal_valid"": true, ""source"": ""tiktok_shop_signal"", ""trend_score_12w_pct"": 0.234}]",HC0053,Herbatint Royal Cream Mocha Brown,Herbatint,Permanent Color,Dark Brown,SalonPro Distribution,False,aktiv,out_of_stock,Evergreen,150 ml,7.3,16742.67,2154,0.241,0.309,132930.6,0.156,12.595045835947477,7.216658873886855,0.391,50,"[""HC0001"", ""HC0008"", ""HC0011"", ""HC0013"", ""HC0015"", ""HC0017"", ""HC0018"", ""HC0025"", ""HC0028"", ""HC0032"", ""HC0037"", ""HC0040"", ""HC0041"", ""HC0048"", ""HC0049"", ""HC0051"", ""HC0064"", ""HC0083"", ""HC0094"", ""HC0096"", ""HC0099"", ""HC0105"", ""HC0106"", ""HC0110"", ""HC0112"", ""HC0120"", ""HC0123"", ""HC0131"", ""HC0132"", ""HC0142"", ""HC0146"", ""HC0159"", ""HC0167"", ""HC0170"", ""HC0172"", ""HC0176"", ""HC0177"", ""HC0179"", ""HC0182"", ""HC0184"", ""HC0190"", ""HC0191"", ""HC0195"", ""HC0201"", ""HC0206"", ""HC0207"", ""HC0211"", ""HC0212"", ""HC0222"", ""HC0231""]",7.17,1,6.0
sku-HC0043,Check supply for Manic Panic High Voltage Blue Black (HC0043),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €109,929.08, trend +0.6%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",602.41,Revenue,12 weeks,"max(0, €109,929.08 x 0.07216658873886855 - €7,330.80) = €602.41","[""Benchmark: median channel / market-demand-proxy ratio of 50 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]","[""Review margin""]","[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0043"", ""row_number"": 44}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0043"", ""row_number"": 44}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM043"", ""row_number"": 44}]","[{""brand"": ""Herbatint"", ""name"": ""Herbatint Semi-Permanent Soft Black"", ""observed_date"": ""2026-07-01"", ""price_eur"": 19.9, ""record_id"": ""CM043"", ""signal_score_0_100"": 89.2, ""signal_valid"": true, ""source"": ""flaconi.de"", ""trend_score_12w_pct"": -0.152}]",HC0043,Manic Panic High Voltage Blue Black,Manic Panic,Permanent Color,Black,Henkel Beauty Care,False,aktiv,out_of_stock,Evergreen,1 kit,5.9,7330.8,1123,0.22,0.039,109929.08,0.006,6.668663105340279,7.216658873886855,0.391,50,"[""HC0001"", ""HC0008"", ""HC0011"", ""HC0013"", ""HC0015"", ""HC0017"", ""HC0018"", ""HC0025"", ""HC0028"", ""HC0032"", ""HC0037"", ""HC0040"", ""HC0041"", ""HC0048"", ""HC0049"", ""HC0051"", ""HC0064"", ""HC0083"", ""HC0094"", ""HC0096"", ""HC0099"", ""HC0105"", ""HC0106"", ""HC0110"", ""HC0112"", ""HC0120"", ""HC0123"", ""HC0131"", ""HC0132"", ""HC0142"", ""HC0146"", ""HC0159"", ""HC0167"", ""HC0170"", ""HC0172"", ""HC0176"", ""HC0177"", ""HC0179"", ""HC0182"", ""HC0184"", ""HC0190"", ""HC0191"", ""HC0195"", ""HC0201"", ""HC0206"", ""HC0207"", ""HC0211"", ""HC0212"", ""HC0222"", ""HC0231""]",19.9,1,10.0
sku-HC0229,Check supply for John Frieda Defy Grey Icy Plum (HC0229),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €49,019.36, trend +47.0%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",150.42,Revenue,12 weeks,"max(0, €49,019.36 x 0.05143053591957583 - €2,370.67) = €150.42","[""Benchmark: median channel / market-demand-proxy ratio of 11 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool."", ""Winter item: verify the selling calendar before promotion, reactivation or clearance; the performance-window end is unknown.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0229"", ""row_number"": 230}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0229"", ""row_number"": 230}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM041"", ""row_number"": 42}]","[{""brand"": ""Goldwell"", ""name"": ""Goldwell Root Frosted Chestnut"", ""observed_date"": ""2026-07-01"", ""price_eur"": 16.43, ""record_id"": ""CM041"", ""signal_score_0_100"": 18.0, ""signal_valid"": true, ""source"": ""rossmann.de"", ""trend_score_12w_pct"": 0.337}]",HC0229,John Frieda Defy Grey Icy Plum,John Frieda,Toner / Gloss,Winter,SalonPro Distribution,False,aktiv,out_of_stock,Winter,200 ml,6.65,2370.67,374,0.302,0.493,49019.36,0.47,4.836191251782969,5.1430535919575835,0.412,11,"[""HC0045"", ""HC0050"", ""HC0066"", ""HC0097"", ""HC0121"", ""HC0153"", ""HC0158"", ""HC0163"", ""HC0185"", ""HC0226"", ""HC0233""]",16.43,1,8.0
sku-HC0111,Check supply for dpHUE Root Touch-Up Kit Electric Blue (HC0111),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €34,818.64, trend +21.3%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",601.37,Revenue,12 weeks,"max(0, €34,818.64 x 0.04158778905071245 - €846.66) = €601.37","[""Benchmark: median channel / market-demand-proxy ratio of 8 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0111"", ""row_number"": 112}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0111"", ""row_number"": 112}]",[],HC0111,dpHUE Root Touch-Up Kit Electric Blue,dpHUE,Bleach / Lightener,Vivid,Indie Color Imports,False,aktiv,out_of_stock,Evergreen,2 x 1 kit,24.16,846.66,39,0.43,0.387,34818.64,0.213,2.4316285759581646,4.1587789050712445,0.46599999999999997,8,"[""HC0031"", ""HC0058"", ""HC0082"", ""HC0129"", ""HC0136"", ""HC0160"", ""HC0162"", ""HC0175""]",,0,5.0
sku-HC0135,Check supply for Directions Colour Kit Light Golden Brown (HC0135),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €23,935.84, trend +51.5%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",1538.07,Revenue,12 weeks,"max(0, €23,935.84 x 0.07216658873886855 - €189.30) = €1,538.07","[""Benchmark: median channel / market-demand-proxy ratio of 50 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0135"", ""row_number"": 136}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0135"", ""row_number"": 136}]",[],HC0135,Directions Colour Kit Light Golden Brown,Directions,Permanent Color,Light Brown,Beauty Direct EU,False,aktiv,out_of_stock,Evergreen,150 ml,16.1,189.3,13,0.349,0.538,23935.84,0.515,0.7908642437449449,7.216658873886855,0.391,50,"[""HC0001"", ""HC0008"", ""HC0011"", ""HC0013"", ""HC0015"", ""HC0017"", ""HC0018"", ""HC0025"", ""HC0028"", ""HC0032"", ""HC0037"", ""HC0040"", ""HC0041"", ""HC0048"", ""HC0049"", ""HC0051"", ""HC0064"", ""HC0083"", ""HC0094"", ""HC0096"", ""HC0099"", ""HC0105"", ""HC0106"", ""HC0110"", ""HC0112"", ""HC0120"", ""HC0123"", ""HC0131"", ""HC0132"", ""HC0142"", ""HC0146"", ""HC0159"", ""HC0167"", ""HC0170"", ""HC0172"", ""HC0176"", ""HC0177"", ""HC0179"", ""HC0182"", ""HC0184"", ""HC0190"", ""HC0191"", ""HC0195"", ""HC0201"", ""HC0206"", ""HC0207"", ""HC0211"", ""HC0212"", ""HC0222"", ""HC0231""]",,0,5.0
sku-HC0119,Check supply for dpHUE Gloss+ Mocha Brown (HC0119),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €23,358.69, trend +52.7%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",0.0,Revenue,12 weeks,"max(0, €23,358.69 x 0.05440241102241644 - €2,434.79) = €0.00","[""Benchmark: median channel / market-demand-proxy ratio of 26 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0119"", ""row_number"": 120}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0119"", ""row_number"": 120}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM011"", ""row_number"": 12}]","[{""brand"": ""Kérastase Chroma Absolu"", ""name"": ""Kérastase Chroma Absolu Permanent Chocolate Brown"", ""observed_date"": ""2026-07-01"", ""price_eur"": 29.78, ""record_id"": ""CM011"", ""signal_score_0_100"": 56.6, ""signal_valid"": true, ""source"": ""google_trends"", ""trend_score_12w_pct"": -0.106}]",HC0119,dpHUE Gloss+ Mocha Brown,dpHUE,Root Touch-Up,Dark Brown,P&G Beauty,False,aktiv,out_of_stock,Evergreen,200 ml,25.7,2434.79,97,0.252,0.354,23358.69,0.527,10.423486933556635,5.440241102241644,0.361,26,"[""HC0005"", ""HC0020"", ""HC0042"", ""HC0046"", ""HC0052"", ""HC0056"", ""HC0071"", ""HC0075"", ""HC0076"", ""HC0084"", ""HC0086"", ""HC0090"", ""HC0145"", ""HC0148"", ""HC0155"", ""HC0156"", ""HC0157"", ""HC0161"", ""HC0174"", ""HC0178"", ""HC0181"", ""HC0189"", ""HC0203"", ""HC0204"", ""HC0213"", ""HC0217""]",29.78,1,12.0
sku-HC0165,Check supply for Madison Reed Radiant Hair Color Pearl Blonde (HC0165),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and out of stock; market-demand proxy €17,403.48, trend +47.0%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",456.64,Revenue,12 weeks,"max(0, €17,403.48 x 0.05143053591957583 - €438.43) = €456.64","[""Benchmark: median channel / market-demand-proxy ratio of 11 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0165"", ""row_number"": 166}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0165"", ""row_number"": 166}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM002"", ""row_number"": 3}]","[{""brand"": ""Wella"", ""name"": ""Wella Shinefinity Pearl Blonde Gloss"", ""observed_date"": ""2026-07-01"", ""price_eur"": 14.49, ""record_id"": ""CM002"", ""signal_score_0_100"": 93.5, ""signal_valid"": true, ""source"": ""flaconi.de"", ""trend_score_12w_pct"": 0.44}]",HC0165,Madison Reed Radiant Hair Color Pearl Blonde,Madison Reed,Toner / Gloss,Ash Blonde,Coty DACH,False,aktiv,out_of_stock,Evergreen,100 ml,32.14,438.43,13,0.566,0.417,17403.48,0.47,2.5192088019177774,5.1430535919575835,0.412,11,"[""HC0045"", ""HC0050"", ""HC0066"", ""HC0097"", ""HC0121"", ""HC0153"", ""HC0158"", ""HC0163"", ""HC0185"", ""HC0226"", ""HC0233""]",14.49,1,6.0
sku-HC0143,Check supply for Crazy Color Platinum Toner Mocha Brown (HC0143),Fix availability,Now,Snapshot only,"Source fields support a review; a single snapshot does not establish the cause, commercial feasibility or probability of success.","Active and low stock; market-demand proxy €761,015.38, trend +39.2%. Stock duration and lost sales are unknown.","Confirm physical and online availability, stock-feed accuracy and supplier lead time; replenish if feasible before considering promotion.",Supply planner,"Availability, units sold and gross profit after the supply check.",22603.5,Revenue,12 weeks,"max(0, €761,015.38 x 0.07216658873886855 - €32,316.38) = €22,603.50","[""Benchmark: median channel / market-demand-proxy ratio of 50 other active, in-stock, selling SKUs in this subcategory."", ""Assumes the peer ratio is a relevant comparison; it does not prove stock or promotion caused the distance."", ""Snapshot benchmark distance, not forecast, guaranteed gain or upper bound; stock duration and distribution coverage are unknown."", ""No annualisation, elasticity, promotional cost or cannibalisation is modelled.""]",[],"[""One 12-week aggregate and current status/stock fields; the period end and stock duration are not supplied."", ""Market revenue is a demand proxy, not a verified addressable sales pool.""]","[{""file"": ""sku_performance.csv"", ""record_id"": ""HC0143"", ""row_number"": 144}, {""file"": ""product_metadata.csv"", ""record_id"": ""HC0143"", ""row_number"": 144}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM029"", ""row_number"": 30}]","[{""brand"": ""Crazy Color"", ""name"": ""Crazy Color Gloss Mocha Brown"", ""observed_date"": ""2026-07-01"", ""price_eur"": 7.17, ""record_id"": ""CM029"", ""signal_score_0_100"": 15.1, ""signal_valid"": true, ""source"": ""tiktok_shop_signal"", ""trend_score_12w_pct"": 0.234}]",HC0143,Crazy Color Platinum Toner Mocha Brown,Crazy Color,Permanent Color,Dark Brown,SalonPro Distribution,False,aktiv,low_stock,Evergreen,1 kit,11.32,32316.38,3080,0.269,0.421,761015.38,0.392,4.246481851654562,7.216658873886855,0.391,50,"[""HC0001"", ""HC0008"", ""HC0011"", ""HC0013"", ""HC0015"", ""HC0017"", ""HC0018"", ""HC0025"", ""HC0028"", ""HC0032"", ""HC0037"", ""HC0040"", ""HC0041"", ""HC0048"", ""HC0049"", ""HC0051"", ""HC0064"", ""HC0083"", ""HC0094"", ""HC0096"", ""HC0099"", ""HC0105"", ""HC0106"", ""HC0110"", ""HC0112"", ""HC0120"", ""HC0123"", ""HC0131"", ""HC0132"", ""HC0142"", ""HC0146"", ""HC0159"", ""HC0167"", ""HC0170"", ""HC0172"", ""HC0176"", ""HC0177"", ""HC0179"", ""HC0182"", ""HC0184"", ""HC0190"", ""HC0191"", ""HC0195"", ""HC0201"", ""HC0206"", ""HC0207"", ""HC0211"", ""HC0212"", ""HC0222"", ""HC0231""]",7.17,1,6.0
