id,title,primary_action,priority_tier,evidence_strength,evidence_reason,rationale,next_step,suggested_owner,success_measure,scenario_value_eur,scenario_type,scenario_period,scenario_formula,scenario_assumptions,also_flagged,caveats,source_refs,competitor_examples,subcategory,shade_group,competitor_signal_0_100,competitor_trend_12w_pct,competitor_rows,valid_signal_rows,active_skus_held,available_skus_held,existing_product_ids,gap_score
gap-1eaa065089c7,Validate demand for Color Care Add-on / Pastel,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 0 active products, 0 currently available. Popularity 93.4/100, mean trend +47.3%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM036"", ""row_number"": 37}]","[{""brand"": ""Revlon"", ""name"": ""Revlon Root Peach Sorbet"", ""observed_date"": ""2026-07-01"", ""price_eur"": 14.55, ""record_id"": ""CM036"", ""signal_score_0_100"": 93.4, ""signal_valid"": true, ""source"": ""dm.de"", ""trend_score_12w_pct"": 0.473}]",Color Care Add-on,Pastel,93.4,0.473,1,1,0,0,[],137.58
gap-48066dd82bc6,Validate demand for Bleach / Lightener / Copper,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 0 active products, 0 currently available. Popularity 90.6/100, mean trend +37.4%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM027"", ""row_number"": 28}]","[{""brand"": ""Madison Reed"", ""name"": ""Madison Reed Root Spiced Copper"", ""observed_date"": ""2026-07-01"", ""price_eur"": 21.08, ""record_id"": ""CM027"", ""signal_score_0_100"": 90.6, ""signal_valid"": true, ""source"": ""tiktok_shop_signal"", ""trend_score_12w_pct"": 0.374}]",Bleach / Lightener,Copper,90.6,0.374,1,1,0,0,[],124.48
gap-1b07bb020c0c,Validate demand for Toner / Gloss / Light Brown,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 1 active products, 1 currently available. Popularity 71.6/100, mean trend +53.4%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM042"", ""row_number"": 43}, {""file"": ""sku_performance.csv"", ""record_id"": ""HC0108"", ""row_number"": 109}]","[{""brand"": ""eSalon"", ""name"": ""eSalon Color Mushroom Brown"", ""observed_date"": ""2026-07-01"", ""price_eur"": 13.55, ""record_id"": ""CM042"", ""signal_score_0_100"": 71.6, ""signal_valid"": true, ""source"": ""tiktok_shop_signal"", ""trend_score_12w_pct"": 0.534}]",Toner / Gloss,Light Brown,71.6,0.534,1,1,1,1,"[""HC0108""]",109.83
gap-4ddd5e7c9a9a,Validate demand for Semi-Permanent / Fashion Color / Medium Brown,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 1 active products, 1 currently available. Popularity 76.1/100, mean trend +27.8%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM039"", ""row_number"": 40}, {""file"": ""sku_performance.csv"", ""record_id"": ""HC0151"", ""row_number"": 152}]","[{""brand"": ""Garnier"", ""name"": ""Garnier Care Chestnut Brown"", ""observed_date"": ""2026-07-01"", ""price_eur"": 24.56, ""record_id"": ""CM039"", ""signal_score_0_100"": 76.1, ""signal_valid"": true, ""source"": ""rossmann.de"", ""trend_score_12w_pct"": 0.278}]",Semi-Permanent / Fashion Color,Medium Brown,76.1,0.278,1,1,1,1,"[""HC0151""]",97.26
gap-1d9b9a7f15c7,Validate demand for Color Care Add-on / Winter,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 0 active products, 0 currently available. Popularity 72.8/100, mean trend +29.5%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM032"", ""row_number"": 33}]","[{""brand"": ""Herbatint"", ""name"": ""Herbatint Gloss Frosted Chestnut"", ""observed_date"": ""2026-07-01"", ""price_eur"": 16.35, ""record_id"": ""CM032"", ""signal_score_0_100"": 72.8, ""signal_valid"": true, ""source"": ""dm.de"", ""trend_score_12w_pct"": 0.295}]",Color Care Add-on,Winter,72.8,0.295,1,1,0,0,[],94.28
gap-21fc144762a7,Validate demand for Toner / Gloss / Vivid,Assortment follow-up,Validate first,Limited comparison,"2 observations, 2 valid popularity scores. Row count is not proof of independent corroboration.","2 competitor observation(s); 0 active products, 0 currently available. Popularity 84.2/100, mean trend -10.4%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM030"", ""row_number"": 31}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM049"", ""row_number"": 50}]","[{""brand"": ""Kristin Ess"", ""name"": ""Kristin Ess Gloss Neon Green"", ""observed_date"": ""2026-07-01"", ""price_eur"": 9.66, ""record_id"": ""CM030"", ""signal_score_0_100"": 83.4, ""signal_valid"": true, ""source"": ""amazon.de"", ""trend_score_12w_pct"": 0.089}, {""brand"": ""John Frieda"", ""name"": ""John Frieda Permanent Ultra Violet"", ""observed_date"": ""2026-07-01"", ""price_eur"": 19.52, ""record_id"": ""CM049"", ""signal_score_0_100"": 84.9, ""signal_valid"": true, ""source"": ""dm.de"", ""trend_score_12w_pct"": -0.298}]",Toner / Gloss,Vivid,84.15,-0.1045,2,2,0,0,[],84.15
gap-b6f50cf99981,Validate demand for Color Care Add-on / Red,Assortment follow-up,Validate first,Limited comparison,"3 observations, 3 valid popularity scores. Row count is not proof of independent corroboration.","3 competitor observation(s); 0 active products, 0 currently available. Popularity 65.0/100, mean trend +20.9%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM021"", ""row_number"": 22}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM069"", ""row_number"": 70}, {""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM071"", ""row_number"": 72}]","[{""brand"": ""Naturtint"", ""name"": ""Naturtint Semi-Permanent Intense Red"", ""observed_date"": ""2026-07-01"", ""price_eur"": 28.29, ""record_id"": ""CM021"", ""signal_score_0_100"": 31.2, ""signal_valid"": true, ""source"": ""douglas.de"", ""trend_score_12w_pct"": -0.149}, {""brand"": ""Clairol"", ""name"": ""Clairol Care Burgundy Red"", ""observed_date"": ""2026-07-01"", ""price_eur"": 17.63, ""record_id"": ""CM069"", ""signal_score_0_100"": 71.9, ""signal_valid"": true, ""source"": ""dm.de"", ""trend_score_12w_pct"": 0.557}, {""brand"": ""Wella"", ""name"": ""Wella Color Burgundy Red"", ""observed_date"": ""2026-07-01"", ""price_eur"": 15.04, ""record_id"": ""CM071"", ""signal_score_0_100"": 91.9, ""signal_valid"": true, ""source"": ""google_trends"", ""trend_score_12w_pct"": 0.218}]",Color Care Add-on,Red,65.0,0.2086666666666667,3,3,0,0,[],78.56
gap-88421ba8880f,Validate demand for Root Touch-Up / Red,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 1 active products, 1 currently available. Popularity 68.4/100, mean trend -14.8%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM015"", ""row_number"": 16}, {""file"": ""sku_performance.csv"", ""record_id"": ""HC0189"", ""row_number"": 190}]","[{""brand"": ""John Frieda"", ""name"": ""John Frieda Care Intense Red"", ""observed_date"": ""2026-07-01"", ""price_eur"": 8.32, ""record_id"": ""CM015"", ""signal_score_0_100"": 68.4, ""signal_valid"": true, ""source"": ""flaconi.de"", ""trend_score_12w_pct"": -0.148}]",Root Touch-Up,Red,68.4,-0.148,1,1,1,1,"[""HC0189""]",68.4
gap-6547995fcab1,Validate demand for Bleach / Lightener / Winter,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 0 active products, 0 currently available. Popularity 64.0/100, mean trend +5.2%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM016"", ""row_number"": 17}]","[{""brand"": ""Kérastase Chroma Absolu"", ""name"": ""Kérastase Chroma Absolu Color Mulled Wine"", ""observed_date"": ""2026-07-01"", ""price_eur"": 9.56, ""record_id"": ""CM016"", ""signal_score_0_100"": 64.0, ""signal_valid"": true, ""source"": ""douglas.de"", ""trend_score_12w_pct"": 0.052}]",Bleach / Lightener,Winter,64.0,0.052,1,1,0,0,[],67.33
gap-3a3cd87f4674,Validate demand for Men's Color / Dark Brown,Assortment follow-up,Validate first,Limited comparison,"1 observations, 1 valid popularity scores. Row count is not proof of independent corroboration.","1 competitor observation(s); 0 active products, 0 currently available. Popularity 62.5/100, mean trend -31.7%.","Refresh the signal and validate product form, pack size and supplier feasibility before a small range trial.",Category buyer,"Validated demand and supply evidence; if approved, trial sell-through and gross profit.",,Not estimated,12 weeks,No defensible monetary estimate from the supplied data.,"[""An investigation is recommended; financial impact is not established.""]",[],"[""Matching subcategory and shade does not establish like-for-like pricing or substitutability; competitor pack size and product form are not verified."", ""Competitor rows are observations, not necessarily independent corroboration. Refresh sources before a commercial decision."", ""Only one competitor observation supports this comparison."", ""Competitor evidence is older than the 60-day review threshold.""]","[{""file"": ""competitor_market_signals.csv"", ""record_id"": ""CM006"", ""row_number"": 7}]","[{""brand"": ""Garnier"", ""name"": ""Garnier Permanent Chocolate Brown"", ""observed_date"": ""2026-07-01"", ""price_eur"": 12.17, ""record_id"": ""CM006"", ""signal_score_0_100"": 62.5, ""signal_valid"": true, ""source"": ""dm.de"", ""trend_score_12w_pct"": -0.317}]",Men's Color,Dark Brown,62.5,-0.317,1,1,0,0,[],62.5
