product_id,product_name,brand,category,subcategory,price_eur,pack_size,private_label,shade_group,seasonality,attributes,launch_season,shelf_space_cm,supplier,ean
HC0001,Schwarzkopf Brilliance Icy Plum Winter Edition,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,15.23,200 ml,False,Winter,Winter,grey coverage; oil-infused,2025-Q2,12,Labo Natural,4076099849416
HC0002,ZenBeauty Private Label Color Studio Sunlit Peach,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,6.49,60 ml,True,Summer,Summer,vegan; direct dye,2024-Q3,5,Own Brand Sourcing GmbH,4011867169740
HC0003,Arctic Fox Semi Permanent Electric Blue,Arctic Fox,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,14.21,2 x 1 kit,False,Vivid,Evergreen,vegan; high pigment,2025-Q3,8,P&G Beauty,4018400400910
HC0004,Wella Color Fresh Pearl Blonde Gloss,Wella,Beauty > Hair Coloration,Toner / Gloss,14.49,200 ml,False,Ash Blonde,Evergreen,shine boost; brass neutralising,2025-Q1,12,Henkel Beauty Care,4069460554961
HC0005,ZenBeauty Private Label Root Fix Medium Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,5.99,100 ml,True,Medium Brown,Evergreen,10 minute; grey coverage,2025-Q1,12,Own Brand Sourcing GmbH,4048046347920
HC0006,Garnier Olia Copper Glow,Garnier,Beauty > Hair Coloration,Permanent Color,4.77,100 ml,False,Copper,Evergreen,grey coverage; oil-infused,2024-Q3,6,P&G Beauty,4026330824447
HC0007,Manic Panic High Voltage Ultra Violet,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,18.92,100 ml,False,Vivid,Evergreen,direct dye; high pigment,2025-Q2,10,P&G Beauty,4071809534782
HC0008,Crazy Color Semi Permanent Smoky Blonde,Crazy Color,Beauty > Hair Coloration,Permanent Color,12.85,150 ml,False,Ash Blonde,Evergreen,ammonia-free; grey coverage,2025-Q2,12,Beauty Direct EU,4090195156265
HC0009,John Frieda Go Blonder Light Golden Brown,John Frieda,Beauty > Hair Coloration,Permanent Color,17.17,2 x 1 kit,False,Light Brown,Evergreen,oil-infused; multi-application,2024-Q2,10,Beauty Direct EU,4053722409092
HC0010,Manic Panic Classic Cream Ultra Violet,Manic Panic,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,7.24,2 x 1 kit,False,Vivid,Evergreen,high pigment; vegan,2024-Q1,12,Indie Color Imports,4010291851443
HC0011,got2b Bright/Pastel Honey Blonde,got2b,Beauty > Hair Coloration,Permanent Color,12.69,150 ml,False,Blonde,Evergreen,ammonia-free; salon inspired,2024-Q1,10,Labo Natural,4059159947433
HC0012,Bleach London Total Bleach Hazelnut Brown,Bleach London,Beauty > Hair Coloration,Permanent Color,8.62,60 ml,False,Medium Brown,Evergreen,salon inspired; grey coverage,2025-Q2,6,Coty DACH,4036851689328
HC0013,Naturtint Root Retouch Espresso Brown,Naturtint,Beauty > Hair Coloration,Permanent Color,11.82,60 ml,False,Dark Brown,Evergreen,salon inspired; grey coverage,2024-Q1,10,Henkel Beauty Care,4014689852126
HC0014,Manic Panic High Voltage Chestnut Brown,Manic Panic,Beauty > Hair Coloration,Permanent Color,14.16,2 x 1 kit,False,Medium Brown,Evergreen,oil-infused; grey coverage,2025-Q2,5,Indie Color Imports,4095686697610
HC0015,Naturtint Root Retouch Cool Ash Blonde,Naturtint,Beauty > Hair Coloration,Permanent Color,7.38,2 x 1 kit,False,Ash Blonde,Evergreen,salon inspired; multi-application,2024-Q1,12,SalonPro Distribution,4026998601554
HC0016,Schwarzkopf Live Coral Rose,Schwarzkopf,Beauty > Hair Coloration,Permanent Color,5.04,60 ml,False,Summer,Summer,grey coverage; multi-application,2025-Q3,10,Henkel Beauty Care,4062097554964
HC0017,Manic Panic Amplified Smoky Blonde,Manic Panic,Beauty > Hair Coloration,Permanent Color,14.93,1 kit,False,Ash Blonde,Evergreen,ammonia-free; multi-application,2025-Q3,12,SalonPro Distribution,4035628780706
HC0018,Madison Reed Root Touch Up Warm Auburn,Madison Reed,Beauty > Hair Coloration,Permanent Color,22.41,100 ml,False,Auburn,Evergreen,ammonia-free; salon inspired,2025-Q2,5,Henkel Beauty Care,4049742774397
HC0019,Herbatint Permanent Herbal Color Light Blonde,Herbatint,Beauty > Hair Coloration,Men's Color,12.84,200 ml,False,Blonde,Evergreen,foam; natural finish,2025-Q2,4,Labo Natural,4072873083538
HC0020,Syoss Root Retoucher Mahogany Auburn,Syoss,Beauty > Hair Coloration,Root Touch-Up,17.42,200 ml,False,Auburn,Evergreen,brush-on; spray,2025-Q3,8,P&G Beauty,4056257311503
HC0021,Naturtint Permanent Hair Color Silver Grey,Naturtint,Beauty > Hair Coloration,Permanent Color,14.55,100 ml,False,Silver/Grey,Evergreen,ammonia-free; multi-application,2024-Q2,4,P&G Beauty,4061807559306
HC0022,Madison Reed Color Reviving Gloss Mulled Wine,Madison Reed,Beauty > Hair Coloration,Toner / Gloss,33.35,150 ml,False,Winter,Winter,shine boost; colour refresh,2024-Q3,4,Labo Natural,4047850691491
HC0023,Manic Panic High Voltage Mushroom Brown,Manic Panic,Beauty > Hair Coloration,Permanent Color,11.08,2 x 1 kit,False,Light Brown,Evergreen,ammonia-free; salon inspired,2024-Q4,4,Coty DACH,4039758051556
HC0024,Herbatint Permanent Herbal Color Natural Black,Herbatint,Beauty > Hair Coloration,Permanent Color,6.15,200 ml,False,Black,Evergreen,oil-infused; salon inspired,2024-Q4,5,Indie Color Imports,4077196838586
HC0025,ZenBeauty Private Label Gloss Lab Cool Ash Blonde,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,4.6,200 ml,True,Ash Blonde,Evergreen,multi-application; oil-infused,2024-Q1,5,Own Brand Sourcing GmbH,4037622023795
HC0026,Arctic Fox Bleach Please Apricot Copper,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,8.53,1 kit,False,Copper,Evergreen,grey coverage; 10 minute,2025-Q2,4,Indie Color Imports,4074049168909
HC0027,Crazy Color Platinum Toner Chocolate Brown,Crazy Color,Beauty > Hair Coloration,Color Care Add-on,14.5,200 ml,False,Dark Brown,Evergreen,bond repair; mask,2024-Q3,4,SalonPro Distribution,4018739661000
HC0028,Madison Reed Radiant Hair Color Chocolate Brown,Madison Reed,Beauty > Hair Coloration,Permanent Color,30.03,150 ml,False,Dark Brown,Evergreen,ammonia-free; salon inspired,2025-Q1,12,Henkel Beauty Care,4011915048861
HC0029,ZenBeauty Private Label Color Studio Frosted Chestnut,ZenBeauty Private Label,Beauty > Hair Coloration,Permanent Color,6.38,150 ml,True,Winter,Winter,oil-infused; multi-application,2024-Q4,5,Own Brand Sourcing GmbH,4098703381154
HC0030,got2b Bright/Pastel Hazelnut Brown,got2b,Beauty > Hair Coloration,Men's Color,5.93,200 ml,False,Medium Brown,Evergreen,grey blending; 5 minute,2024-Q1,12,Henkel Beauty Care,4046036853623
HC0031,Herbatint Royal Cream Ultra Violet,Herbatint,Beauty > Hair Coloration,Bleach / Lightener,10.65,2 x 1 kit,False,Vivid,Evergreen,up to 8 levels; cream bleach,2025-Q2,6,Coty DACH,4065424910331
HC0032,Arctic Fox Bleach Please Soft Black,Arctic Fox,Beauty > Hair Coloration,Permanent Color,4.87,60 ml,False,Black,Evergreen,salon inspired; oil-infused,2024-Q1,10,Indie Color Imports,4077735888965
HC0033,Directions Pastel Toner Mushroom Brown,Directions,Beauty > Hair Coloration,Color Care Add-on,16.93,150 ml,False,Light Brown,Evergreen,UV protection; bond repair,2024-Q4,8,Labo Natural,4021963123337
HC0034,Manic Panic Classic Cream Light Blonde,Manic Panic,Beauty > Hair Coloration,Permanent Color,7.44,1 kit,False,Blonde,Evergreen,ammonia-free; oil-infused,2024-Q2,4,Indie Color Imports,4077773853295
HC0035,Syoss Root Retoucher Dark Blonde,Syoss,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,16.59,100 ml,False,Blonde,Evergreen,no peroxide; high pigment,2025-Q1,10,Henkel Beauty Care,4054491215439
HC0036,Clairol Root Touch-Up Almond Brown,Clairol,Beauty > Hair Coloration,Root Touch-Up,11.09,100 ml,False,Light Brown,Evergreen,spray; temporary,2024-Q3,8,SalonPro Distribution,4096136405221
HC0037,Garnier Color Sensation Sunlit Peach,Garnier,Beauty > Hair Coloration,Permanent Color,5.94,100 ml,False,Summer,Summer,salon inspired; ammonia-free,2024-Q1,6,SalonPro Distribution,4057076816645
HC0038,ZenBeauty Private Label Color Studio Coral Rose,ZenBeauty Private Label,Beauty > Hair Coloration,Semi-Permanent / Fashion Color,4.49,200 ml,True,Summer,Summer,high pigment; direct dye,2024-Q1,8,Own Brand Sourcing GmbH,4097144708922
HC0039,ZenBeauty Private Label Root Fix Caramel Brown,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,4.78,60 ml,True,Medium Brown,Evergreen,brush-on; 10 minute,2024-Q2,5,Own Brand Sourcing GmbH,4016676421333
HC0040,Kristin Ess Hair Gloss Dark Blonde,Kristin Ess,Beauty > Hair Coloration,Permanent Color,32.32,150 ml,False,Blonde,Evergreen,ammonia-free; multi-application,2025-Q2,5,Labo Natural,4096357911064
HC0041,Clairol Natural Instincts Chestnut Brown,Clairol,Beauty > Hair Coloration,Permanent Color,15.89,2 x 1 kit,False,Medium Brown,Evergreen,grey coverage; oil-infused,2024-Q3,8,SalonPro Distribution,4072847359942
HC0042,Bleach London Super Cool Colour Mahogany Auburn,Bleach London,Beauty > Hair Coloration,Root Touch-Up,9.83,100 ml,False,Auburn,Evergreen,temporary; brush-on,2024-Q2,5,SalonPro Distribution,4035923126782
HC0043,Manic Panic High Voltage Blue Black,Manic Panic,Beauty > Hair Coloration,Permanent Color,5.9,1 kit,False,Black,Evergreen,multi-application; grey coverage,2025-Q2,10,Henkel Beauty Care,4075448795279
HC0044,Arctic Fox Bleach Please Hazelnut Brown,Arctic Fox,Beauty > Hair Coloration,Root Touch-Up,12.38,60 ml,False,Medium Brown,Evergreen,spray; grey coverage,2024-Q1,10,Labo Natural,4051418120442
HC0045,Wella Blondor Silver Grey,Wella,Beauty > Hair Coloration,Toner / Gloss,13.06,2 x 1 kit,False,Silver/Grey,Evergreen,colour refresh; shine boost,2025-Q1,8,Labo Natural,4014365483296
HC0046,ZenBeauty Private Label Nature Color Spiced Copper,ZenBeauty Private Label,Beauty > Hair Coloration,Root Touch-Up,7.91,150 ml,True,Copper,Evergreen,brush-on; grey coverage,2024-Q3,4,Own Brand Sourcing GmbH,4017391690232
HC0047,Kristin Ess Rose Gold Temporary Tint Dark Blonde,Kristin Ess,Beauty > Hair Coloration,Men's Color,20.82,1 kit,False,Blonde,Evergreen,natural finish; grey blending,2024-Q1,5,Labo Natural,4099365829929
HC0048,Wella Shinefinity Espresso Brown,Wella,Beauty > Hair Coloration,Permanent Color,18.78,60 ml,False,Dark Brown,Evergreen,grey coverage; salon inspired,2025-Q1,8,SalonPro Distribution,4029484382847
HC0049,Directions Colour Kit Chocolate Brown,Directions,Beauty > Hair Coloration,Permanent Color,12.81,60 ml,False,Dark Brown,Evergreen,grey coverage; ammonia-free,2025-Q1,5,SalonPro Distribution,4022561988262
HC0050,Wella Shinefinity Pearl Blonde,Wella,Beauty > Hair Coloration,Toner / Gloss,15.53,60 ml,False,Ash Blonde,Evergreen,clear gloss; bonding,2025-Q2,5,Henkel Beauty Care,4097999132705
HC0051,Syoss Gloss Sensation Smoky Blonde,Syoss,Beauty > Hair Coloration,Permanent Color,7.69,1 kit,False,Ash Blonde,Evergreen,ammonia-free; oil-infused,2024-Q4,10,Henkel Beauty Care,4040261487862
HC0052,Schwarzkopf Brilliance Soft Black,Schwarzkopf,Beauty > Hair Coloration,Root Touch-Up,14.78,100 ml,False,Black,Evergreen,brush-on; grey coverage,2025-Q2,5,SalonPro Distribution,4031536534574
